FY,Customer,Breakout,Category,Amount
2000,Air Force,Aircraft,Products,13869260053.0
2000,Air Force,Clothing & Subsistence,Products,64888371.0
2000,Air Force,Electronics & Communications,Products,3310228032.0
2000,Air Force,Engines & Power Plants,Products,2915149015.0
2000,Air Force,ERS,Services,3541145375.0
2000,Air Force,FRS&C,Services,4525005886.0
2000,Air Force,Fuels,Products,49644684.0
2000,Air Force,Ground Vehicles,Products,87133909.0
2000,Air Force,ICT,Services,2554673936.0
2000,Air Force,Launchers & Munitions,Products,648996408.0
2000,Air Force,MED,Services,21923638.0
2000,Air Force,Missiles & Space,Products,803057575.0
2000,Air Force,Other,Products,2491084388.0
2000,Air Force,PAMS,Services,8083374527.0
2000,Air Force,Adv. Component Dev. & Prototypes (6.4),R&D,2211242632.0
2000,Air Force,Adv. Technology Dev. (6.3),R&D,2272633597.0
2000,Air Force,Applied Research (6.2),R&D,1261576985.0
2000,Air Force,Basic Research (6.1),R&D,262518119.0
2000,Air Force,Operation of Government R&D Facilities,R&D,92575385.0
2000,Air Force,Operational Systems Dev. (6.7),R&D,25335987.0
2000,Air Force,System Dev. & Demonstration (6.5),R&D,4564616889.0
2000,Air Force,Ships,Products,9205043.0
2000,Army,Aircraft,Products,2759050019.0
2000,Army,Clothing & Subsistence,Products,416809714.0
2000,Army,Electronics & Communications,Products,3506385690.0
2000,Army,Engines & Power Plants,Products,1150979008.0
2000,Army,ERS,Services,1993917159.0
2000,Army,FRS&C,Services,12898757390.0
2000,Army,Fuels,Products,6990593.0
2000,Army,Ground Vehicles,Products,4427021254.0
2000,Army,ICT,Services,2636738704.0
2000,Army,Launchers & Munitions,Products,2132461971.0
2000,Army,MED,Services,964214725.0
2000,Army,Missiles & Space,Products,3000257632.0
2000,Army,Other,Products,1875506440.0
2000,Army,PAMS,Services,8140836905.0
2000,Army,Adv. Component Dev. & Prototypes (6.4),R&D,1221515715.0
2000,Army,Adv. Technology Dev. (6.3),R&D,1860469978.0
2000,Army,Applied Research (6.2),R&D,845174747.0
2000,Army,Basic Research (6.1),R&D,1091034587.0
2000,Army,Operation of Government R&D Facilities,R&D,13746550.0
2000,Army,Operational Systems Dev. (6.7),R&D,127698489.0
2000,Army,System Dev. & Demonstration (6.5),R&D,905153734.0
2000,Army,Ships,Products,35997466.0
2000,DLA,Aircraft,Products,687801050.0
2000,DLA,Clothing & Subsistence,Products,3336078220.0
2000,DLA,Electronics & Communications,Products,666466546.0
2000,DLA,Engines & Power Plants,Products,821629029.0
2000,DLA,ERS,Services,66580608.0
2000,DLA,FRS&C,Services,225464849.0
2000,DLA,Fuels,Products,4940523279.0
2000,DLA,Ground Vehicles,Products,231871161.0
2000,DLA,ICT,Services,337019112.0
2000,DLA,Launchers & Munitions,Products,43887126.0
2000,DLA,MED,Services,2282187.0
2000,DLA,Missiles & Space,Products,11319771.0
2000,DLA,Other,Products,1772114915.0
2000,DLA,PAMS,Services,248461712.0
2000,DLA,Applied Research (6.2),R&D,24924031.0
2000,DLA,Basic Research (6.1),R&D,90683389.0
2000,DLA,Operational Systems Dev. (6.7),R&D,316399.0
2000,DLA,System Dev. & Demonstration (6.5),R&D,5275424.0
2000,DLA,Ships,Products,32390325.0
